accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
792,-318,16730,0,0,0,-222,-70,123,0.09,-0.02,0.02
804,-424,16800,0,-0.01,0,-229,-63,124,-0.02,0.09,0.03
836,-358,16688,0,0,-0.01,-224,-70,127,0.06,-0.02,0.08
760,-288,16680,0,0,-0.01,-235,-56,123,-0.11,0.2,0.02
776,-354,16808,0,0,0,-227,-66,124,0.02,0.05,0.03
760,-414,16748,0,-0.01,0,-228,-61,113,0,0.12,-0.14
838,-272,16824,0,0,0,-228,-71,122,0,-0.03,0
870,-306,16734,0,0,0,-227,-66,128,0.02,0.05,0.09
798,-334,16792,0,0,0,-226,-76,121,0.03,-0.11,-0.02
830,-370,16854,0,0,0,-228,-63,122,0,0.09,0
764,-306,16866,0,0,0,-228,-68,121,0,0.02,-0.02
846,-346,16750,0,0,0,-228,-75,121,0,-0.09,-0.02
850,-344,16682,0,0,-0.01,-226,-63,128,0.03,0.09,0.09
896,-210,16760,0,0.01,0,-227,-71,123,0.02,-0.03,0.02
766,-348,16882,0,0,0.01,-241,-65,124,-0.2,0.06,0.03
896,-366,16822,0,0,0,-230,-64,123,-0.03,0.08,0.02
784,-376,16782,0,0,0,-222,-67,117,0.09,0.03,-0.08
964,-250,16786,0.01,0,0,-229,-72,130,-0.02,-0.05,0.12
804,-398,16670,0,0,-0.01,-240,-59,132,-0.18,0.15,0.15
772,-300,16684,0,0,-0.01,-224,-69,120,0.06,0,-0.03
818,-342,16842,0,0,0,-227,-65,120,0.02,0.06,-0.03
892,-292,16814,0,0,0,-227,-71,120,0.02,-0.03,-0.03
790,-366,16768,0,0,0,-236,-58,120,-0.12,0.17,-0.03
820,-264,16686,0,0,-0.01,-228,-69,130,0,0,0.12
840,-260,16876,0,0,0.01,-233,-63,129,-0.08,0.09,0.11
748,-400,16822,0,0,0,-229,-68,123,-0.02,0.02,0.02
886,-336,16800,0,0,0,-225,-84,126,0.05,-0.23,0.06
806,-314,16776,0,0,0,-233,-72,124,-0.08,-0.05,0.03
782,-282,16860,0,0,0,-231,-72,129,-0.05,-0.05,0.11
738,-290,16772,0,0,0,-232,-68,118,-0.06,0.02,-0.06
846,-352,16896,0,0,0.01,-221,-68,121,0.11,0.02,-0.02
852,-376,16796,0,0,0,-224,-73,114,0.06,-0.06,-0.12
812,-366,16766,0,0,0,-236,-64,125,-0.12,0.08,0.05
758,-358,16770,0,0,0,-218,-69,126,0.15,0,0.06
806,-282,16850,0,0,0,-225,-68,126,0.05,0.02,0.06
852,-234,16838,0,0.01,0,-228,-73,123,0,-0.06,0.02
758,-340,16846,0,0,0,-220,-73,131,0.12,-0.06,0.14
788,-366,16786,0,0,0,-223,-69,121,0.08,0,-0.02
758,-294,16702,0,0,-0.01,-221,-88,131,0.11,-0.29,0.14
774,-342,16750,0,0,0,-225,-60,118,0.05,0.14,-0.06
876,-320,16770,0,0,0,-239,-67,117,-0.17,0.03,-0.08
836,-388,16838,0,0,0,-233,-73,118,-0.08,-0.06,-0.06
806,-272,16766,0,0,0,-220,-74,127,0.12,-0.08,0.08
820,-388,16766,0,0,0,-230,-63,118,-0.03,0.09,-0.06
816,-290,16910,0,0,0.01,-229,-67,125,-0.02,0.03,0.05
786,-392,16734,0,0,0,-241,-67,130,-0.2,0.03,0.12
720,-342,16832,-0.01,0,0,-224,-71,127,0.06,-0.03,0.08
844,-272,16836,0,0,0,-235,-76,120,-0.11,-0.11,-0.03
956,-352,16796,0.01,0,0,-227,-72,126,0.02,-0.05,0.06
766,-280,16752,0,0,0,-236,-77,125,-0.12,-0.12,0.05
732,-288,16806,-0.01,0,0,-210,-76,126,0.27,-0.11,0.06
872,-320,16796,0,0,0,-233,-53,133,-0.08,0.24,0.17
756,-538,16890,0,-0.01,0.01,-233,-63,119,-0.08,0.09,-0.05
924,-150,16704,0.01,0.01,-0.01,-226,-77,125,0.03,-0.12,0.05
674,-454,16724,-0.01,-0.01,0,-221,-72,125,0.11,-0.05,0.05
932,-210,16790,0.01,0.01,0,-231,-65,120,-0.05,0.06,-0.03
