accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
-15388,-520,12,-0.99,-0.01,-1.02,-232,-68,137,-0.06,0.02,0.23
-15424,-508,-74,-0.99,-0.01,-1.03,-234,-70,123,-0.09,-0.02,0.02
-15396,-532,62,-0.99,-0.01,-1.02,-230,-73,123,-0.03,-0.06,0.02
-15450,-472,64,-0.99,-0.01,-1.02,-231,-67,122,-0.05,0.03,0
-15362,-566,-68,-0.99,-0.01,-1.03,-231,-71,131,-0.05,-0.03,0.14
-15372,-566,-80,-0.99,-0.01,-1.03,-227,-60,122,0.02,0.14,0
-15442,-498,46,-0.99,-0.01,-1.02,-225,-69,113,0.05,0,-0.14
-15390,-614,-14,-0.99,-0.02,-1.03,-226,-68,122,0.03,0.02,0
-15352,-512,22,-0.99,-0.01,-1.02,-231,-66,128,-0.05,0.05,0.09
-15392,-568,64,-0.99,-0.01,-1.02,-237,-65,118,-0.14,0.06,-0.06
-15424,-476,78,-0.99,-0.01,-1.02,-232,-74,126,-0.06,-0.08,0.06
-15418,-586,68,-0.99,-0.02,-1.02,-229,-65,126,-0.02,0.06,0.06
-15290,-480,-130,-0.98,-0.01,-1.03,-220,-71,122,0.12,-0.03,0
-15448,-598,-8,-0.99,-0.02,-1.03,-237,-66,122,-0.14,0.05,0
-15492,-508,-26,-1,-0.01,-1.03,-225,-78,126,0.05,-0.14,0.06
-15458,-490,40,-0.99,-0.01,-1.02,-229,-74,124,-0.02,-0.08,0.03
-15402,-620,-22,-0.99,-0.02,-1.03,-230,-67,126,-0.03,0.03,0.06
-15384,-534,-62,-0.99,-0.01,-1.03,-222,-79,128,0.09,-0.15,0.09
-15408,-444,12,-0.99,-0.01,-1.02,-231,-80,135,-0.05,-0.17,0.2
-15434,-504,32,-0.99,-0.01,-1.02,-224,-60,121,0.06,0.14,-0.02
-15448,-518,-16,-0.99,-0.01,-1.03,-232,-69,134,-0.06,0,0.18
-15378,-634,24,-0.99,-0.02,-1.02,-225,-83,128,0.05,-0.21,0.09
-15388,-584,-14,-0.99,-0.02,-1.03,-228,-78,128,0,-0.14,0.09
-15374,-506,-10,-0.99,-0.01,-1.03,-234,-67,128,-0.09,0.03,0.09
-15378,-510,88,-0.99,-0.01,-1.02,-224,-79,130,0.06,-0.15,0.12
-15276,-518,-54,-0.98,-0.01,-1.03,-237,-73,120,-0.14,-0.06,-0.03
-15420,-536,-74,-0.99,-0.01,-1.03,-230,-64,120,-0.03,0.08,-0.03
-15378,-500,22,-0.99,-0.01,-1.02,-228,-71,126,0,-0.03,0.06
-15370,-480,4,-0.99,-0.01,-1.02,-230,-67,119,-0.03,0.03,-0.05
-15326,-564,6,-0.99,-0.01,-1.02,-224,-58,123,0.06,0.17,0.02
-15450,-558,-46,-0.99,-0.01,-1.03,-226,-65,131,0.03,0.06,0.14
-15342,-538,64,-0.99,-0.01,-1.02,-216,-67,119,0.18,0.03,-0.05
-15382,-494,16,-0.99,-0.01,-1.02,-236,-71,126,-0.12,-0.03,0.06
-15426,-530,-18,-0.99,-0.01,-1.03,-230,-81,127,-0.03,-0.18,0.08
-15378,-538,4,-0.99,-0.01,-1.02,-235,-75,116,-0.11,-0.09,-0.09
-15456,-626,100,-0.99,-0.02,-1.02,-224,-62,132,0.06,0.11,0.15
