accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
1116,-16794,-170,0.02,-1.01,-1.04,-234,-72,118,-0.09,-0.05,-0.06
1120,-16840,-136,0.02,-1.01,-1.03,-237,-70,136,-0.14,-0.02,0.21
1092,-16826,-84,0.02,-1.01,-1.03,-225,-66,118,0.05,0.05,-0.06
1028,-16800,-156,0.01,-1.01,-1.03,-229,-68,122,-0.02,0.02,0
1106,-16826,-86,0.02,-1.01,-1.03,-231,-64,120,-0.05,0.08,-0.03
1046,-16860,-154,0.01,-1.01,-1.03,-227,-74,123,0.02,-0.08,0.02
1098,-16846,-38,0.02,-1.01,-1.03,-233,-72,128,-0.08,-0.05,0.09
1082,-16846,-168,0.02,-1.01,-1.04,-230,-64,126,-0.03,0.08,0.06
1090,-16846,-118,0.02,-1.01,-1.03,-234,-66,115,-0.09,0.05,-0.11
1054,-16836,-112,0.01,-1.01,-1.03,-232,-62,125,-0.06,0.11,0.05
1098,-16824,-204,0.02,-1.01,-1.04,-232,-54,129,-0.06,0.23,0.11
1124,-16834,-114,0.02,-1.01,-1.03,-233,-79,118,-0.08,-0.15,-0.06
1204,-16808,-92,0.02,-1.01,-1.03,-226,-71,128,0.03,-0.03,0.09
1098,-16894,-136,0.02,-1.01,-1.03,-217,-83,124,0.17,-0.21,0.03
1084,-16778,-238,0.02,-1,-1.04,-231,-78,126,-0.05,-0.14,0.06
1122,-16858,-216,0.02,-1.01,-1.04,-225,-62,135,0.05,0.11,0.2
1178,-16798,-192,0.02,-1.01,-1.04,-229,-66,129,-0.02,0.05,0.11
1138,-16782,-110,0.02,-1,-1.03,-225,-61,121,0.05,0.12,-0.02
1136,-16848,-170,0.02,-1.01,-1.04,-226,-65,121,0.03,0.06,-0.02
1106,-16832,-208,0.02,-1.01,-1.04,-222,-64,126,0.09,0.08,0.06
1184,-16882,-228,0.02,-1.01,-1.04,-232,-77,125,-0.06,-0.12,0.05
1140,-16826,-226,0.02,-1.01,-1.04,-224,-83,127,0.06,-0.21,0.08
1050,-16818,-214,0.01,-1.01,-1.04,-234,-73,119,-0.09,-0.06,-0.05
1090,-16778,-250,0.02,-1,-1.04,-223,-69,124,0.08,0,0.03
1152,-16816,-72,0.02,-1.01,-1.03,-224,-85,116,0.06,-0.24,-0.09
1072,-16746,-210,0.02,-1,-1.04,-232,-69,122,-0.06,0,0
1122,-16832,-176,0.02,-1.01,-1.04,-232,-75,126,-0.06,-0.09,0.06
1112,-16878,-278,0.02,-1.01,-1.04,-239,-59,114,-0.17,0.15,-0.12
1078,-16888,-222,0.02,-1.01,-1.04,-234,-68,127,-0.09,0.02,0.08
1094,-16884,-256,0.02,-1.01,-1.04,-248,-69,115,-0.31,0,-0.11
1006,-16810,-74,0.01,-1.01,-1.03,-232,-78,129,-0.06,-0.14,0.11
1008,-16802,-100,0.01,-1.01,-1.03,-231,-71,121,-0.05,-0.03,-0.02
1086,-16806,-198,0.02,-1.01,-1.04,-228,-78,130,0,-0.14,0.12
1078,-16838,-76,0.02,-1.01,-1.03,-227,-74,125,0.02,-0.08,0.05
1100,-16862,-198,0.02,-1.01,-1.04,-236,-77,122,-0.12,-0.12,0
1050,-16820,-184,0.01,-1.01,-1.04,-228,-66,125,0,0.05,0.05
1022,-16856,-102,0.01,-1.01,-1.03,-226,-73,129,0.03,-0.06,0.11
1138,-16810,-94,0.02,-1.01,-1.03,-231,-76,124,-0.05,-0.11,0.03
1056,-16820,-164,0.01,-1.01,-1.04,-231,-71,121,-0.05,-0.03,-0.02
1132,-16770,-176,0.02,-1,-1.04,-237,-65,122,-0.14,0.06,0
1160,-16816,-208,0.02,-1.01,-1.04,-225,-64,120,0.05,0.08,-0.03
1104,-16800,-62,0.02,-1.01,-1.03,-224,-76,133,0.06,-0.11,0.17
1082,-16816,-198,0.02,-1.01,-1.04,-223,-70,125,0.08,-0.02,0.05
1186,-16820,-160,0.02,-1.01,-1.03,-221,-65,126,0.11,0.06,0.06
1096,-16866,-92,0.02,-1.01,-1.03,-220,-65,129,0.12,0.06,0.11
1138,-16780,-140,0.02,-1,-1.03,-214,-66,137,0.21,0.05,0.23
1100,-16854,-106,0.02,-1.01,-1.03,-222,-76,123,0.09,-0.11,0.02
1140,-16846,-268,0.02,-1.01,-1.04,-223,-76,126,0.08,-0.11,0.06
1062,-16812,-114,0.01,-1.01,-1.03,-226,-73,132,0.03,-0.06,0.15
1090,-16820,-246,0.02,-1.01,-1.04,-227,-64,122,0.02,0.08,0
1214,-16764,-122,0.02,-1,-1.03,-231,-66,126,-0.05,0.05,0.06
1094,-16900,-216,0.02,-1.01,-1.04,-229,-72,112,-0.02,-0.05,-0.15
1100,-16832,-254,0.02,-1.01,-1.04,-224,-58,129,0.06,0.17,0.11
1164,-16760,-150,0.02,-1,-1.03,-234,-72,119,-0.09,-0.05,-0.05
1104,-16842,-162,0.02,-1.01,-1.03,-227,-57,125,0.02,0.18,0.05
1130,-16668,-154,0.02,-1,-1.03,-237,-68,112,-0.14,0.02,-0.15
1128,-16876,-220,0.02,-1.01,-1.04,-236,-66,120,-0.12,0.05,-0.03
1112,-16834,-206,0.02,-1.01,-1.04,-243,-69,123,-0.23,0,0.02
1158,-16812,-138,0.02,-1.01,-1.03,-231,-71,120,-0.05,-0.03,-0.03
1062,-16784,-94,0.01,-1,-1.03,-239,-72,117,-0.17,-0.05,-0.08
1144,-16770,-46,0.02,-1,-1.03,-238,-69,121,-0.15,0,-0.02
1112,-16812,-150,0.02,-1.01,-1.03,-228,-66,124,0,0.05,0.03
1080,-16792,-222,0.02,-1,-1.04,-224,-76,125,0.06,-0.11,0.05
1062,-16872,-130,0.01,-1.01,-1.03,-235,-58,118,-0.11,0.17,-0.06
1144,-16796,-186,0.02,-1.01,-1.04,-227,-70,129,0.02,-0.02,0.11
1090,-16898,-14,0.02,-1.01,-1.03,-233,-61,120,-0.08,0.12,-0.03
1120,-16916,-188,0.02,-1.01,-1.04,-230,-72,115,-0.03,-0.05,-0.11
1104,-16782,-166,0.02,-1,-1.04,-232,-74,120,-0.06,-0.08,-0.03
1080,-16776,-220,0.02,-1,-1.04,-228,-72,122,0,-0.05,0
1126,-16834,-146,0.02,-1.01,-1.03,-233,-68,119,-0.08,0.02,-0.05
1140,-16812,-44,0.02,-1.01,-1.03,-233,-64,131,-0.08,0.08,0.14
1112,-16798,-266,0.02,-1.01,-1.04,-228,-72,130,0,-0.05,0.12
1146,-16722,-112,0.02,-1,-1.03,-228,-66,117,0,0.05,-0.08
1144,-16810,-96,0.02,-1.01,-1.03,-227,-65,132,0.02,0.06,0.15
1174,-16854,-170,0.02,-1.01,-1.04,-233,-75,115,-0.08,-0.09,-0.11
1116,-16810,-178,0.02,-1.01,-1.04,-222,-67,134,0.09,0.03,0.18
1150,-16862,-264,0.02,-1.01,-1.04,-242,-64,118,-0.21,0.08,-0.06
1152,-16860,-122,0.02,-1.01,-1.03,-228,-65,125,0,0.06,0.05
1102,-16844,-82,0.02,-1.01,-1.03,-233,-61,122,-0.08,0.12,0
1074,-16826,-206,0.02,-1.01,-1.04,-231,-64,125,-0.05,0.08,0.05
1128,-16782,-124,0.02,-1,-1.03,-227,-65,122,0.02,0.06,0
1168,-16870,-150,0.02,-1.01,-1.03,-230,-67,124,-0.03,0.03,0.03
1122,-16806,-116,0.02,-1.01,-1.03,-222,-67,128,0.09,0.03,0.09
