,,,,,,,,,,,
652,15954,-108,-0.01,0.99,-1.03,-229,-62,125,-0.02,0.11,0.05
596,15930,-58,-0.01,0.99,-1.03,-227,-68,128,0.02,0.02,0.09
596,16048,-150,-0.01,1,-1.03,-238,-75,124,-0.15,-0.09,0.03
626,16032,-104,-0.01,1,-1.03,-236,-67,119,-0.12,0.03,-0.05
658,16024,-56,-0.01,1,-1.03,-235,-72,122,-0.11,-0.05,0
554,15958,8,-0.02,0.99,-1.02,-225,-71,130,0.05,-0.03,0.12
634,15976,-44,-0.01,1,-1.03,-229,-67,119,-0.02,0.03,-0.05
638,15894,-18,-0.01,0.99,-1.03,-229,-72,127,-0.02,-0.05,0.08
632,15940,-26,-0.01,0.99,-1.03,-226,-71,122,0.03,-0.03,0
624,15980,-44,-0.01,1,-1.03,-233,-66,132,-0.08,0.05,0.15
526,15992,-50,-0.02,1,-1.03,-232,-64,119,-0.06,0.08,-0.05
604,15972,-34,-0.01,0.99,-1.03,-237,-63,130,-0.14,0.09,0.12
548,15960,-44,-0.02,0.99,-1.03,-228,-63,125,0,0.09,0.05
660,15970,-80,-0.01,0.99,-1.03,-225,-69,116,0.05,0,-0.09
608,15970,-84,-0.01,0.99,-1.03,-230,-62,128,-0.03,0.11,0.09
620,16064,-36,-0.01,1,-1.03,-232,-64,134,-0.06,0.08,0.18
582,16030,-34,-0.01,1,-1.03,-229,-70,120,-0.02,-0.02,-0.03
578,15948,-124,-0.01,0.99,-1.03,-236,-62,128,-0.12,0.11,0.09
532,16002,-176,-0.02,1,-1.04,-225,-70,117,0.05,-0.02,-0.08
670,15962,0,-0.01,0.99,-1.03,-219,-65,119,0.14,0.06,-0.05
540,15960,-62,-0.02,0.99,-1.03,-226,-74,131,0.03,-0.08,0.14
658,15982,-90,-0.01,1,-1.03,-230,-73,123,-0.03,-0.06,0.02
584,16028,-140,-0.01,1,-1.03,-239,-72,128,-0.17,-0.05,0.09
664,16022,-112,-0.01,1,-1.03,-228,-68,116,0,0.02,-0.09
620,15940,-72,-0.01,0.99,-1.03,-222,-69,124,0.09,0,0.03
650,15992,-50,-0.01,1,-1.03,-237,-69,126,-0.14,0,0.06
602,16026,-264,-0.01,1,-1.04,-226,-68,122,0.03,0.02,0
598,15976,-52,-0.01,1,-1.03,-236,-76,119,-0.12,-0.11,-0.05
550,15924,-56,-0.02,0.99,-1.03,-231,-71,124,-0.05,-0.03,0.03
612,15998,-4,-0.01,1,-1.03,-229,-62,128,-0.02,0.11,0.09
642,15948,-40,-0.01,0.99,-1.03,-229,-72,128,-0.02,-0.05,0.09
574,15996,-72,-0.01,1,-1.03,-230,-68,128,-0.03,0.02,0.09
630,16024,-142,-0.01,1,-1.03,-220,-58,121,0.12,0.17,-0.02
608,16028,-112,-0.01,1,-1.03,-231,-60,129,-0.05,0.14,0.11
578,15944,-136,-0.01,0.99,-1.03,-234,-62,119,-0.09,0.11,-0.05
612,15988,-48,-0.01,1,-1.03,-223,-69,122,0.08,0,0
598,16088,-54,-0.01,1,-1.03,-221,-65,117,0.11,0.06,-0.08
608,15970,-90,-0.01,0.99,-1.03,-222,-66,117,0.09,0.05,-0.08
520,16030,-44,-0.02,1,-1.03,-235,-74,134,-0.11,-0.08,0.18
656,15990,-112,-0.01,1,-1.03,-235,-68,125,-0.11,0.02,0.05
586,15988,-12,-0.01,1,-1.03,-222,-79,123,0.09,-0.15,0.02
528,15942,-10,-0.02,0.99,-1.03,-226,-69,124,0.03,0,0.03
666,16070,-122,-0.01,1,-1.03,-226,-70,115,0.03,-0.02,-0.11
664,15992,-46,-0.01,1,-1.03,-232,-63,127,-0.06,0.09,0.08
540,16014,28,-0.02,1,-1.02,-228,-74,121,0,-0.08,-0.02
526,16008,32,-0.02,1,-1.02,-238,-70,131,-0.15,-0.02,0.14
514,15976,-32,-0.02,1,-1.03,-237,-62,128,-0.14,0.11,0.09
536,15902,6,-0.02,0.99,-1.02,-229,-68,134,-0.02,0.02,0.18
560,15964,-146,-0.02,0.99,-1.03,-230,-65,124,-0.03,0.06,0.03
510,16002,-40,-0.02,1,-1.03,-220,-57,124,0.12,0.18,0.03
492,16012,-8,-0.02,1,-1.03,-213,-61,121,0.23,0.12,-0.02
620,16016,-70,-0.01,1,-1.03,-225,-58,122,0.05,0.17,0
688,15954,-134,-0.01,0.99,-1.03,-236,-78,126,-0.12,-0.14,0.06
678,15958,-32,-0.01,0.99,-1.03,-231,-60,116,-0.05,0.14,-0.09
546,15948,-14,-0.02,0.99,-1.03,-230,-67,133,-0.03,0.03,0.17
514,16016,-78,-0.02,1,-1.03,-242,-69,129,-0.21,0,0.11
636,16016,-48,-0.01,1,-1.03,-234,-65,134,-0.09,0.06,0.18
496,15972,4,-0.02,0.99,-1.02,-239,-64,131,-0.17,0.08,0.14
596,15984,-92,-0.01,1,-1.03,-229,-69,125,-0.02,0,0.05
586,16010,-26,-0.01,1,-1.03,-232,-69,128,-0.06,0,0.09
590,16088,-104,-0.01,1,-1.03,-219,-65,112,0.14,0.06,-0.15
620,15944,80,-0.01,0.99,-1.02,-215,-80,119,0.2,-0.17,-0.05
552,16070,-116,-0.02,1,-1.03,-222,-67,113,0.09,0.03,-0.14
672,15914,-10,-0.01,0.99,-1.03,-216,-73,113,0.18,-0.06,-0.14
554,16062,-44,-0.02,1,-1.03,-216,-66,119,0.18,0.05,-0.05
622,15986,48,-0.01,1,-1.02,-228,-80,115,0,-0.17,-0.11
610,15970,-64,-0.01,0.99,-1.03,-249,-70,135,-0.32,-0.02,0.2
510,15946,50,-0.02,0.99,-1.02,-238,-69,140,-0.15,0,0.27
