accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
17184,-380,162,1,0,-1.02,-224,-74,124,0.06,-0.08,0.03
17222,-318,28,1,0,-1.02,-237,-75,113,-0.14,-0.09,-0.14
17142,-378,86,1,0,-1.02,-233,-75,123,-0.08,-0.09,0.02
17180,-326,-24,1,0,-1.03,-232,-67,122,-0.06,0.03,0
17234,-328,100,1,0,-1.02,-233,-77,125,-0.08,-0.12,0.05
17146,-276,60,1,0,-1.02,-229,-68,129,-0.02,0.02,0.11
17156,-394,64,1,0,-1.02,-224,-72,120,0.06,-0.05,-0.03
17158,-356,126,1,0,-1.02,-216,-75,123,0.18,-0.09,0.02
17152,-396,128,1,0,-1.02,-239,-67,123,-0.17,0.03,0.02
17096,-412,106,0.99,-0.01,-1.02,-240,-63,129,-0.18,0.09,0.11
17158,-396,176,1,0,-1.01,-217,-60,122,0.17,0.14,0
17246,-382,42,1,0,-1.02,-222,-78,118,0.09,-0.14,-0.06
17136,-400,50,1,0,-1.02,-237,-63,122,-0.14,0.09,0
17212,-364,256,1,0,-1.01,-231,-64,121,-0.05,0.08,-0.02
17228,-336,156,1,0,-1.02,-221,-73,118,0.11,-0.06,-0.06
17240,-350,156,1,0,-1.02,-233,-71,123,-0.08,-0.03,0.02
17170,-334,60,1,0,-1.02,-231,-62,128,-0.05,0.11,0.09
17274,-338,30,1,0,-1.02,-231,-71,122,-0.05,-0.03,0
17140,-390,114,1,0,-1.02,-223,-61,126,0.08,0.12,0.06
17240,-368,164,1,0,-1.01,-226,-72,121,0.03,-0.05,-0.02
17144,-302,40,1,0,-1.02,-230,-68,115,-0.03,0.02,-0.11
17156,-384,138,1,0,-1.02,-229,-73,126,-0.02,-0.06,0.06
17158,-300,206,1,0,-1.01,-227,-74,114,0.02,-0.08,-0.12
17288,-334,184,1.01,0,-1.01,-229,-62,121,-0.02,0.11,-0.02
17226,-266,-18,1,0,-1.03,-237,-60,123,-0.14,0.14,0.02
17140,-328,-14,1,0,-1.03,-227,-70,121,0.02,-0.02,-0.02
17148,-440,84,1,-0.01,-1.02,-228,-72,124,0,-0.05,0.03
17112,-372,112,0.99,0,-1.02,-232,-74,117,-0.06,-0.08,-0.08
17276,-342,114,1,0,-1.02,-234,-73,121,-0.09,-0.06,-0.02
17164,-322,174,1,0,-1.01,-234,-70,118,-0.09,-0.02,-0.06
17116,-336,132,0.99,0,-1.02,-226,-67,124,0.03,0.03,0.03
17146,-368,30,1,0,-1.02,-236,-68,118,-0.12,0.02,-0.06
17200,-304,-4,1,0,-1.03,-230,-64,126,-0.03,0.08,0.06
17120,-298,18,1,0,-1.02,-230,-71,124,-0.03,-0.03,0.03
17244,-338,88,1,0,-1.02,-231,-81,125,-0.05,-0.18,0.05
17144,-414,80,1,-0.01,-1.02,-222,-68,126,0.09,0.02,0.06
17138,-360,20,1,0,-1.02,-224,-75,128,0.06,-0.09,0.09
17160,-352,94,1,0,-1.02,-226,-67,116,0.03,0.03,-0.09
17244,-294,80,1,0,-1.02,-229,-68,130,-0.02,0.02,0.12
17184,-378,34,1,0,-1.02,-229,-68,119,-0.02,0.02,-0.05
17228,-326,-18,1,0,-1.03,-236,-73,117,-0.12,-0.06,-0.08
17142,-356,-14,1,0,-1.03,-223,-78,119,0.08,-0.14,-0.05
17232,-312,22,1,0,-1.02,-222,-70,126,0.09,-0.02,0.06
17146,-426,186,1,-0.01,-1.01,-231,-74,127,-0.05,-0.08,0.08
16960,-402,34,0.99,0,-1.02,-232,-94,129,-0.06,-0.38,0.11
17206,-418,174,1,-0.01,-1.01,-229,-61,127,-0.02,0.12,0.08
17204,-358,34,1,0,-1.02,-228,-70,119,0,-0.02,-0.05
17206,-330,-20,1,0,-1.03,-233,-77,120,-0.08,-0.12,-0.03
17194,-286,126,1,0,-1.02,-230,-56,126,-0.03,0.2,0.06
17144,-268,86,1,0,-1.02,-225,-68,133,0.05,0.02,0.17
17138,-408,50,1,0,-1.02,-224,-70,118,0.06,-0.02,-0.06
17112,-350,32,0.99,0,-1.02,-228,-61,116,0,0.12,-0.09
17184,-364,106,1,0,-1.02,-222,-58,116,0.09,0.17,-0.09
17192,-374,122,1,0,-1.02,-231,-78,106,-0.05,-0.14,-0.24
17178,-372,42,1,0,-1.02,-224,-66,128,0.06,0.05,0.09
17252,-362,140,1,0,-1.02,-229,-70,126,-0.02,-0.02,0.06
17110,-418,172,0.99,-0.01,-1.01,-231,-68,119,-0.05,0.02,-0.05
17164,-384,56,1,0,-1.02,-219,-63,118,0.14,0.09,-0.06
17096,-366,130,0.99,0,-1.02,-229,-67,117,-0.02,0.03,-0.08
17200,-338,146,1,0,-1.02,-229,-59,115,-0.02,0.15,-0.11
17214,-304,38,1,0,-1.02,-226,-56,117,0.03,0.2,-0.08
17202,-260,76,1,0,-1.02,-222,-74,114,0.09,-0.08,-0.12
17106,-352,90,0.99,0,-1.02,-223,-63,120,0.08,0.09,-0.03
17142,-418,110,1,-0.01,-1.02,-222,-68,123,0.09,0.02,0.02
17196,-372,42,1,0,-1.02,-227,-61,126,0.02,0.12,0.06
17162,-356,110,1,0,-1.02,-224,-69,126,0.06,0,0.06
17070,-374,148,0.99,0,-1.02,-232,-62,123,-0.06,0.11,0.02
17198,-470,42,1,-0.01,-1.02,-229,-64,114,-0.02,0.08,-0.12
17094,-378,152,0.99,0,-1.02,-217,-64,127,0.17,0.08,0.08
17170,-322,72,1,0,-1.02,-224,-69,127,0.06,0,0.08
17162,-390,42,1,0,-1.02,-229,-80,117,-0.02,-0.17,-0.08
17140,-376,106,1,0,-1.02,-228,-73,119,0,-0.06,-0.05
17144,-370,-16,1,0,-1.03,-231,-72,123,-0.05,-0.05,0.02
17198,-370,90,1,0,-1.02,-220,-63,119,0.12,0.09,-0.05
17136,-392,102,1,0,-1.02,-229,-73,118,-0.02,-0.06,-0.06
17184,-420,60,1,-0.01,-1.02,-227,-64,128,0.02,0.08,0.09
17078,-326,180,0.99,0,-1.01,-226,-70,121,0.03,-0.02,-0.02
17260,-338,152,1,0,-1.02,-226,-70,120,0.03,-0.02,-0.03
17234,-310,186,1,0,-1.01,-223,-67,125,0.08,0.03,0.05
17176,-334,14,1,0,-1.02,-224,-69,123,0.06,0,0.02
17172,-440,204,1,-0.01,-1.01,-226,-64,126,0.03,0.08,0.06
17164,-280,168,1,0,-1.01,-229,-69,132,-0.02,0,0.15
17300,-364,158,1.01,0,-1.02,-224,-59,121,0.06,0.15,-0.02
17158,-370,110,1,0,-1.02,-236,-61,120,-0.12,0.12,-0.03
17090,-430,158,0.99,-0.01,-1.02,-225,-73,127,0.05,-0.06,0.08
17186,-318,154,1,0,-1.02,-231,-77,119,-0.05,-0.12,-0.05
17202,-414,-52,1,-0.01,-1.03,-224,-60,111,0.06,0.14,-0.17
17158,-308,12,1,0,-1.02,-232,-80,124,-0.06,-0.17,0.03
17042,-374,62,0.99,0,-1.02,-238,-75,113,-0.15,-0.09,-0.14
17082,-388,84,0.99,0,-1.02,-231,-72,131,-0.05,-0.05,0.14
17146,-380,10,1,0,-1.02,-228,-62,125,0,0.11,0.05
17146,-334,126,1,0,-1.02,-230,-64,120,-0.03,0.08,-0.03
17128,-316,50,1,0,-1.02,-238,-64,123,-0.15,0.08,0.02
17140,-340,198,1,0,-1.01,-229,-72,124,-0.02,-0.05,0.03
17230,-380,114,1,0,-1.02,-232,-76,118,-0.06,-0.11,-0.06
17146,-292,108,1,0,-1.02,-228,-67,120,0,0.03,-0.03
17140,-342,150,1,0,-1.02,-222,-71,128,0.09,-0.03,0.09
17252,-400,106,1,0,-1.02,-223,-73,123,0.08,-0.06,0.02
17242,-318,44,1,0,-1.02,-233,-79,127,-0.08,-0.15,0.08
17226,-342,100,1,0,-1.02,-236,-63,127,-0.12,0.09,0.08
17174,-284,122,1,0,-1.02,-225,-65,123,0.05,0.06,0.02
17110,-294,108,0.99,0,-1.02,-222,-73,120,0.09,-0.06,-0.03
17164,-376,156,1,0,-1.02,-222,-61,117,0.09,0.12,-0.08
17120,-312,110,1,0,-1.02,-228,-71,122,0,-0.03,0
17206,-368,14,1,0,-1.02,-225,-80,120,0.05,-0.17,-0.03
17116,-424,66,0.99,-0.01,-1.02,-222,-64,139,0.09,0.08,0.26
17158,-324,-26,1,0,-1.03,-230,-75,125,-0.03,-0.09,0.05
17174,-368,54,1,0,-1.02,-233,-80,121,-0.08,-0.17,-0.02
17120,-446,246,1,-0.01,-1.01,-235,-59,120,-0.11,0.15,-0.03
17180,-412,92,1,-0.01,-1.02,-230,-66,127,-0.03,0.05,0.08
17228,-358,50,1,0,-1.02,-237,-64,115,-0.14,0.08,-0.11
17182,-392,126,1,0,-1.02,-230,-78,129,-0.03,-0.14,0.11
17182,-344,122,1,0,-1.02,-223,-76,124,0.08,-0.11,0.03
17208,-356,74,1,0,-1.02,-220,-78,123,0.12,-0.14,0.02
